City,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,total_crime,Crime_index,is_safe 
Newport,4666,7,0,3,0,4,51,10,38,3,0,58,1.24,1
Newton,13153,46,0,6,8,32,458,97,338,23,2,504,3.83,1
North Wilkesboro,4220,16,0,1,4,11,131,3,114,14,0,147,3.48,1
Oak Island,8244,15,0,3,1,11,135,28,99,8,0,150,1.82,1
Ocean Isle Beach,644,3,0,2,0,1,44,16,27,1,0,47,7.3,0
Oxford,8851,91,4,0,15,72,231,31,190,10,2,322,3.64,1
Pinehurst,16522,11,1,4,0,6,113,22,87,4,0,124,0.75,1
Pine Level,2016,8,0,2,1,5,25,5,19,1,1,33,1.64,1
Pineville,9088,68,1,4,21,42,1131,115,956,60,3,1199,13.19,0
Pittsboro,4359,26,0,2,2,22,82,19,61,2,1,108,2.48,1
Plymouth,3400,37,1,4,4,28,139,57,68,14,2,176,5.18,1
Princeton,1402,0,0,0,0,0,16,4,11,1,0,16,1.14,1
Raeford,5001,17,2,3,4,8,107,23,78,6,0,124,2.48,1
Raleigh,477828,1222,5,164,322,731,8520,1200,6572,748,36,9742,2.04,1
Red Springs,3341,52,1,2,6,43,197,57,128,12,3,249,7.45,0
Reidsville,13959,105,0,7,19,79,890,121,704,65,2,995,7.13,0
Roanoke Rapids,14354,128,4,8,32,84,706,166,518,22,1,834,5.81,1
Robersonville,1348,9,0,1,2,6,35,12,20,3,0,44,3.26,1
Rockingham,8687,39,1,6,13,19,431,146,269,16,3,470,5.41,1
Rockwell,2151,7,0,2,1,4,30,4,24,2,0,37,1.72,1
Rocky Mount,53827,424,16,20,103,285,1627,420,1098,109,9,2051,3.81,1
Rowland,1002,8,1,2,2,3,45,13,29,3,1,53,5.29,1
Roxboro,8299,61,1,3,12,45,365,89,269,7,3,426,5.13,1
Rutherfordton,4047,0,0,0,0,0,145,1,142,2,0,145,3.58,1
Salisbury,33877,249,2,15,69,163,1413,220,1094,99,9,1662,4.91,1
Selma,7018,55,1,3,9,42,204,36,138,30,0,259,3.69,1
Shallotte,4396,9,2,1,3,3,315,31,277,7,0,324,7.37,0
Siler City,8237,67,1,13,10,43,325,44,255,26,1,392,4.76,1
Smithfield,12882,71,2,5,15,49,461,56,387,18,1,532,4.13,1
Snow Hill,1513,5,0,1,0,4,58,24,34,0,0,63,4.16,1
Southern Pines,14524,46,1,3,11,31,366,57,295,14,2,412,2.84,1
Southern Shores,2940,1,0,1,0,0,19,7,11,1,0,20,0.68,1
Southport,3961,4,0,3,0,1,97,6,90,1,0,101,2.55,1
Spencer,3238,11,0,1,5,5,73,17,48,8,0,84,2.59,1
Stallings,16173,20,0,5,2,13,199,43,139,17,1,219,1.35,1
Sugar Mountain,197,0,0,0,0,0,8,3,5,0,0,8,4.06,1
Swansboro,3354,2,1,0,0,1,127,16,106,5,0,129,3.85,1
Sylva,2742,9,0,3,0,6,149,14,127,8,0,158,5.76,1
Troutman,2755,4,0,2,2,0,67,16,49,2,0,71,2.58,1
Troy,3326,19,0,0,3,16,98,30,63,5,0,117,3.52,1
Valdese,4435,15,0,0,0,15,67,12,44,11,0,82,1.85,1
Wadesboro,5228,99,0,6,16,77,336,77,247,12,4,435,8.32,0
Wake Forest,46145,24,1,3,4,16,393,33,344,16,0,417,0.9,1
Warrenton,837,4,0,0,1,3,40,11,28,1,0,44,5.26,1
Washington,9497,71,0,4,10,57,357,62,281,14,2,428,4.51,1
Waxhaw,17203,25,0,4,4,17,156,46,107,3,0,181,1.05,1
Waynesville,10146,62,4,3,2,53,685,143,508,34,4,747,7.36,0
Weaverville,4013,4,0,2,0,2,153,1,146,6,0,157,3.91,1
Wendell,8096,6,0,1,2,3,77,22,45,10,0,83,1.03,1
West Jefferson,1311,2,0,1,0,1,70,6,62,2,0,72,5.49,1
Whispering Pines,3385,0,0,0,0,0,31,3,28,0,0,31,0.92,1
Whiteville,5338,78,2,2,10,64,509,88,402,19,0,587,11,0
Wilkesboro,3491,15,0,4,2,9,229,12,204,13,2,244,6.99,0
Williamston,5217,66,1,6,3,56,348,80,260,8,2,414,7.94,0
Wilmington,124750,759,7,74,127,551,3593,771,2564,258,18,4352,3.49,1
Wilson,49344,220,2,18,60,140,1545,364,1066,115,8,1765,3.58,1
Windsor,3310,18,0,2,0,16,22,2,18,2,0,40,1.21,1
Winterville,9922,9,0,2,1,6,86,21,63,2,3,95,0.96,1
Wrightsville Beach,2550,30,0,7,2,21,96,15,77,4,1,126,4.94,1
Youngsville,1365,2,0,0,0,2,36,3,32,1,0,38,2.78,1
Zebulon,5814,24,0,1,6,17,234,24,199,11,1,258,4.44,1
